"","row id","country","iso3","latitude","longitude","glass_amr_enrolled","amr action plan","who_region","glass_status","nap_status_glass","number_of_priority_genomes","number_of_critical_genomes","number_of_klebsiella_genomes","nap_status_tracss","nap_type","surveillance_network","national_reference_lab","glass_status_metric","glass_data_metric","national_reference_lab_metric","surveillance_network_metric","number_of_priority_genomes_metric","number_of_critical_genomes_metric","number_of_klebsiella_genomes_metric"
"102",102,"Liechtenstein","LIE","47.139286","9.522796","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"103",103,"Lithuania","LTU","54.687046","25.282911","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",288,266,164,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","100-500"
"104",104,"Luxembourg","LUX","49.611277","6.129799","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",304,36,19,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Unknown ","Yes","Yes",NA,"Partial","100-500","1-50","1-50"
"105",105,"Madagascar","MDG","-18.910012","47.525581","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",706,597,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","500-1000","500-1000",NA
"106",106,"Malawi","MWI","-13.987511","33.768144","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",1960,105,58,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","100-500","50-100"
"107",107,"Malaysia","MYS","3.152659","101.702220","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Current",299,178,38,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","1-50"
"108",108,"Maldives","MDV","4.177988","73.510739","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Partial",NA,NA,NA
"109",109,"Mali","MLI","12.649319","-8.000337","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",228,118,29,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","1-50"
"110",110,"Malta","MLT","35.898998","14.513661","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",38,37,17,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1-50","1-50","1-50"
"111",111,"Marshall Islands","MHL","7.113000","171.236000","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No",NA,NA,NA
"112",112,"Mauritania","MRT","18.079238","-15.978007","Y","N","AFRO","Enrolled - No data submitted","No National Action Plan",4,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","No","1-50",NA,NA
"113",113,"Mauritius","MUS","-20.162452","57.502804","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",13,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1-50",NA,NA
"114",114,"Mexico","MEX","23.000000","-102.000000","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",2289,769,31,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No","1000-5000","500-1000","1-50"
"115",115,"Micronesia (Federated States of)","FSM","6.925514","158.161991","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","Partial",NA,NA,NA
"116",116,"Monaco","MCO","43.732349","7.427683","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"117",117,"Mongolia","MNG","47.918468","106.917702","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Current",49,49,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","1-50","1-50",NA
"118",118,"Montenegro","MNE","42.441524","19.262108","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",53,23,23,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","50-100","1-50","1-50"
"119",119,"Morocco","MAR","34.022360","-6.834022","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",67,6,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","50-100","1-50",NA
"120",120,"Mozambique","MOZ","-25.966213","32.567450","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",325,103,26,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","100-500","100-500","1-50"
"121",121,"Myanmar","MMR","19.775329","96.103255","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",357,292,85,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","50-100"
"122",122,"Namibia","NAM","-22.577610","17.077274","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Partial",NA,NA,NA
"123",123,"Nauru","NRU","-0.547106","166.916348","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No",NA,NA,NA
"124",124,"Nepal","NPL","27.708317","85.320582","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Current",1263,685,157,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"125",125,"Netherlands","NLD","52.373080","4.892453","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",19391,7057,649,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","5000-10000","500-1000"
"126",126,"New Zealand","NZL","-41.288795","174.777211","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",8179,4035,158,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","5000-10000","1000-5000","100-500"
"127",127,"Nicaragua","NIC","12.154404","-86.273764","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",12,12,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50","1-50",NA
"128",128,"Niger","NER","13.524834","2.109823","N","Y","AFRO","Not Enrolled - No data submitted","No National Action Plan",178,135,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","100-500","100-500",NA
"129",129,"Nigeria","NGA","9.064331","7.489297","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Current",1218,944,224,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"130",130,"North Macedonia","MKD","41.996182","21.431921","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",1,1,1,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","1-50","1-50","1-50"
"131",131,"Norway","NOR","59.913330","10.738970","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",10691,4954,2683,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","1000-5000","1000-5000"
"132",132,"Oman","OMN","23.588202","58.382945","Y","Y","EMRO","Enrolled - Data submitted","No National Action Plan",313,273,204,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","100-500"
"133",133,"Pakistan","PAK","33.693812","73.065151","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",2072,1701,361,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","100-500"
"134",134,"Palau","PLW","7.500645","134.624286","N","N","WPRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No",NA,NA,NA
"135",135,"Occupied Palestinian territory, including East Jerusalem","PSE","31.783360","35.233880","Y","Y","EMRO","Enrolled - Data submitted","No National Action Plan",94,31,2,NA,NA,NA,NA,"Yes","Yes",NA,NA,"50-100","1-50","1-50"
"136",136,"Panama","PAN","8.971449","-79.534180","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial",NA,NA,NA
"137",137,"Papua New Guinea","PNG","-9.474330","147.159950","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Out of Date",85,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","50-100",NA,NA
"138",138,"Paraguay","PRY","-25.280046","-57.634381","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",433,308,77,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","100-500","100-500","50-100"
"139",139,"Peru","PER","-12.062107","-77.036526","Y","Y","AMRO","Enrolled - Data submitted","National Action Plan - Out of Date",2293,810,80,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","50-100"
"140",140,"Philippines","PHL","14.590449","120.980362","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Out of Date",76,69,18,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","50-100","50-100","1-50"
"141",141,"Poland","POL","52.231958","21.006725","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",1815,1150,96,"No plan exists. ","N/A","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","50-100"
"142",142,"Portugal","PRT","38.707751","-9.136592","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",3891,2068,689,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1000-5000","1000-5000","500-1000"
"143",143,"Qatar","QAT","25.285633","51.526416","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Current",709,599,220,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","500-1000","100-500"
"144",144,"Republic of Korea (South Korea)","KOR","37.535861","127.011709","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Current",1808,988,109,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"145",145,"Republic of Moldova","MDA","47.024512","28.832292","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes",NA,NA,NA
"146",146,"Romania","ROU","44.436141","26.102720","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",498,416,153,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","Yes","100-500","100-500","100-500"
"147",147,"Russian Federation (Russia)","RUS","55.752220","37.615560","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",824,452,304,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","100-500","100-500"
"148",148,"Rwanda","RWA","-1.885960","30.129675","N","Y","AFRO","Not Enrolled - Data submitted","National Action Plan - Out of Date",206,135,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial","100-500","100-500",NA
"149",149,"Saint Kitts And Nevis","KNA","17.296092","-62.722301","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",54,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","50-100",NA,NA
"150",150,"Saint Lucia","LCA","14.009597","-60.990236","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"No plan exists. ","N/A","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No",NA,NA,NA
"151",151,"Saint Vincent And The Grenadines","VCT","13.156186","-61.227962","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Yes",NA,NA,NA
